year,Quincy
1880,8
1881,7
1882,11
1883,6
1884,0
1885,10
1886,9
1887,6
1888,5
1889,10
1890,10
1891,9
1892,13
1893,0
1894,10
1895,11
1896,8
1897,9
1898,10
1899,10
1900,25
1901,5
1902,14
1903,13
1904,0
1905,15
1906,6
1907,17
1908,9
1909,17
1910,31
1911,19
1912,31
1913,30
1914,35
1915,48
1916,45
1917,54
1918,44
1919,63
1920,52
1921,65
1922,40
1923,50
1924,54
1925,55
1926,50
1927,71
1928,61
1929,46
1930,35
1931,46
1932,53
1933,34
1934,53
1935,54
1936,42
1937,46
1938,43
1939,51
1940,43
1941,45
1942,44
1943,53
1944,43
1945,32
1946,51
1947,76
1948,53
1949,63
1950,56
1951,48
1952,64
1953,64
1954,69
1955,73
1956,64
1957,47
1958,61
1959,71
1960,72
1961,91
1962,76
1963,83
1964,89
1965,100
1966,81
1967,89
1968,109
1969,116
1970,178
1971,239
1972,352
1973,336
1974,436
1975,507
1976,613
1977,744
1978,651
1979,608
1980,543
1981,455
1982,437
1983,383
1984,365
1985,353
1986,378
1987,306
1988,301
1989,358
1990,422
1991,449
1992,428
1993,562
1994,528
1995,531
1996,515
1997,447
1998,407
1999,485
2000,524
2001,642
2002,669
2003,647
2004,624
2005,644
2006,628
2007,638
2008,634
2009,609
2010,604
2011,533
2012,509
