year,Queen
1880,17
1881,15
1882,11
1883,10
1884,14
1885,17
1886,32
1887,21
1888,25
1889,31
1890,25
1891,32
1892,32
1893,33
1894,32
1895,34
1896,28
1897,47
1898,42
1899,40
1900,67
1901,44
1902,47
1903,52
1904,56
1905,70
1906,53
1907,91
1908,62
1909,75
1910,80
1911,100
1912,116
1913,126
1914,148
1915,140
1916,172
1917,181
1918,222
1919,232
1920,228
1921,204
1922,231
1923,249
1924,249
1925,252
1926,246
1927,263
1928,263
1929,258
1930,199
1931,224
1932,249
1933,235
1934,223
1935,230
1936,203
1937,229
1938,225
1939,224
1940,197
1941,178
1942,224
1943,255
1944,194
1945,195
1946,234
1947,237
1948,219
1949,225
1950,244
1951,207
1952,219
1953,200
1954,203
1955,181
1956,168
1957,132
1958,109
1959,140
1960,107
1961,112
1962,99
1963,84
1964,73
1965,69
1966,69
1967,41
1968,31
1969,37
1970,24
1971,19
1972,30
1973,17
1974,27
1975,21
1976,16
1977,22
1978,20
1979,34
1980,34
1981,35
1982,25
1983,15
1984,23
1985,18
1986,20
1987,9
1988,20
1989,14
1990,28
1991,20
1992,37
1993,84
1994,65
1995,48
1996,38
1997,51
1998,59
1999,63
2000,59
2001,58
2002,52
2003,68
2004,57
2005,56
2006,59
2007,61
2008,46
2009,58
2010,70
2011,50
2012,85
