year,Oakley
1880,0
1881,0
1882,0
1883,0
1884,9
1885,5
1886,0
1887,0
1888,0
1889,8
1890,6
1891,0
1892,7
1893,5
1894,7
1895,7
1896,11
1897,0
1898,16
1899,8
1900,6
1901,8
1902,12
1903,5
1904,7
1905,9
1906,5
1907,6
1908,7
1909,9
1910,13
1911,12
1912,23
1913,43
1914,33
1915,43
1916,48
1917,50
1918,47
1919,52
1920,58
1921,46
1922,41
1923,53
1924,44
1925,50
1926,28
1927,38
1928,44
1929,27
1930,31
1931,26
1932,28
1933,23
1934,28
1935,34
1936,15
1937,23
1938,19
1939,17
1940,21
1941,15
1942,16
1943,22
1944,17
1945,16
1946,27
1947,16
1948,16
1949,12
1950,27
1951,14
1952,14
1953,11
1954,12
1955,9
1956,11
1957,15
1958,9
1959,11
1960,9
1961,10
1962,15
1963,0
1964,9
1965,11
1966,5
1967,7
1968,9
1969,8
1970,10
1971,0
1972,11
1973,7
1974,7
1975,9
1976,5
1977,5
1978,0
1979,10
1980,15
1981,10
1982,9
1983,13
1984,6
1985,11
1986,0
1987,9
1988,9
1989,9
1990,18
1991,25
1992,30
1993,36
1994,30
1995,40
1996,48
1997,49
1998,54
1999,58
2000,74
2001,68
2002,70
2003,88
2004,97
2005,106
2006,114
2007,133
2008,166
2009,230
2010,255
2011,351
2012,428
