year,Olen
1880,8
1881,9
1882,0
1883,10
1884,0
1885,10
1886,0
1887,5
1888,5
1889,8
1890,6
1891,7
1892,7
1893,13
1894,10
1895,12
1896,16
1897,12
1898,13
1899,10
1900,14
1901,11
1902,13
1903,18
1904,18
1905,18
1906,16
1907,22
1908,27
1909,24
1910,24
1911,30
1912,61
1913,106
1914,111
1915,154
1916,178
1917,142
1918,154
1919,183
1920,170
1921,174
1922,193
1923,181
1924,175
1925,150
1926,152
1927,163
1928,164
1929,138
1930,134
1931,117
1932,127
1933,118
1934,120
1935,106
1936,104
1937,113
1938,96
1939,96
1940,101
1941,104
1942,96
1943,117
1944,95
1945,77
1946,81
1947,97
1948,66
1949,81
1950,78
1951,76
1952,66
1953,91
1954,77
1955,65
1956,55
1957,59
1958,54
1959,55
1960,50
1961,33
1962,49
1963,51
1964,45
1965,41
1966,39
1967,40
1968,32
1969,34
1970,42
1971,33
1972,24
1973,25
1974,23
1975,27
1976,37
1977,25
1978,21
1979,25
1980,28
1981,22
1982,23
1983,20
1984,13
1985,9
1986,17
1987,26
1988,21
1989,16
1990,21
1991,22
1992,15
1993,16
1994,15
1995,15
1996,10
1997,16
1998,18
1999,11
2000,17
2001,11
2002,12
2003,20
2004,14
2005,15
2006,17
2007,17
2008,14
2009,36
2010,33
2011,36
2012,21
