year,Otha
1880,8
1881,6
1882,10
1883,13
1884,7
1885,0
1886,10
1887,14
1888,5
1889,11
1890,22
1891,13
1892,13
1893,18
1894,26
1895,22
1896,31
1897,12
1898,21
1899,27
1900,33
1901,22
1902,30
1903,26
1904,26
1905,36
1906,33
1907,43
1908,40
1909,41
1910,39
1911,46
1912,82
1913,99
1914,101
1915,142
1916,126
1917,171
1918,157
1919,136
1920,174
1921,180
1922,163
1923,146
1924,136
1925,160
1926,152
1927,156
1928,142
1929,145
1930,121
1931,121
1932,124
1933,114
1934,136
1935,111
1936,104
1937,110
1938,111
1939,115
1940,106
1941,115
1942,114
1943,113
1944,111
1945,118
1946,99
1947,139
1948,123
1949,128
1950,121
1951,108
1952,110
1953,110
1954,104
1955,96
1956,100
1957,84
1958,78
1959,52
1960,63
1961,62
1962,71
1963,55
1964,47
1965,53
1966,50
1967,33
1968,35
1969,61
1970,32
1971,46
1972,37
1973,24
1974,29
1975,27
1976,32
1977,27
1978,29
1979,24
1980,25
1981,25
1982,23
1983,22
1984,15
1985,15
1986,14
1987,19
1988,17
1989,17
1990,18
1991,11
1992,11
1993,12
1994,12
1995,15
1996,13
1997,12
1998,7
1999,5
2000,7
2001,10
2002,8
2003,9
2004,8
2005,6
2006,5
2007,0
2008,6
2009,0
2010,0
2011,0
2012,5
