year,Oral
1880,8
1881,0
1882,0
1883,5
1884,11
1885,0
1886,15
1887,6
1888,16
1889,14
1890,12
1891,15
1892,28
1893,21
1894,23
1895,19
1896,21
1897,9
1898,22
1899,10
1900,28
1901,13
1902,19
1903,14
1904,13
1905,23
1906,28
1907,19
1908,25
1909,26
1910,29
1911,30
1912,50
1913,56
1914,66
1915,105
1916,111
1917,123
1918,91
1919,106
1920,107
1921,94
1922,100
1923,58
1924,87
1925,76
1926,62
1927,69
1928,65
1929,57
1930,44
1931,43
1932,39
1933,39
1934,39
1935,41
1936,46
1937,30
1938,25
1939,19
1940,28
1941,23
1942,24
1943,26
1944,20
1945,19
1946,22
1947,26
1948,21
1949,31
1950,25
1951,36
1952,36
1953,45
1954,49
1955,56
1956,50
1957,29
1958,34
1959,27
1960,23
1961,29
1962,22
1963,17
1964,12
1965,17
1966,9
1967,11
1968,10
1969,8
1970,10
1971,8
1972,5
1973,11
1974,0
1975,11
1976,5
1977,8
1978,6
1979,8
1980,0
1981,0
1982,5
1983,6
1984,9
1985,5
1986,0
1987,0
1988,7
1989,0
1990,6
1991,5
1992,8
1993,6
1994,7
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,5
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
