year,Olinda
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,5
1892,8
1893,11
1894,6
1895,13
1896,7
1897,10
1898,11
1899,9
1900,7
1901,5
1902,6
1903,13
1904,9
1905,12
1906,10
1907,0
1908,6
1909,8
1910,7
1911,13
1912,11
1913,16
1914,16
1915,26
1916,25
1917,16
1918,22
1919,21
1920,22
1921,28
1922,24
1923,26
1924,9
1925,18
1926,11
1927,11
1928,8
1929,9
1930,11
1931,7
1932,7
1933,5
1934,0
1935,7
1936,8
1937,0
1938,8
1939,10
1940,9
1941,0
1942,7
1943,9
1944,7
1945,7
1946,16
1947,13
1948,14
1949,17
1950,24
1951,15
1952,20
1953,24
1954,29
1955,25
1956,14
1957,15
1958,10
1959,12
1960,9
1961,6
1962,5
1963,10
1964,5
1965,10
1966,6
1967,0
1968,11
1969,7
1970,6
1971,6
1972,8
1973,8
1974,8
1975,6
1976,10
1977,6
1978,0
1979,7
1980,0
1981,0
1982,6
1983,6
1984,0
1985,0
1986,0
1987,0
1988,6
1989,0
1990,8
1991,5
1992,5
1993,0
1994,5
1995,5
1996,0
1997,7
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
