year,Oneal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,8
1903,8
1904,6
1905,0
1906,6
1907,6
1908,6
1909,10
1910,16
1911,12
1912,23
1913,21
1914,36
1915,23
1916,36
1917,47
1918,55
1919,39
1920,58
1921,44
1922,62
1923,52
1924,53
1925,60
1926,53
1927,61
1928,49
1929,56
1930,60
1931,65
1932,72
1933,55
1934,52
1935,63
1936,43
1937,56
1938,39
1939,38
1940,49
1941,42
1942,42
1943,41
1944,63
1945,43
1946,38
1947,38
1948,36
1949,43
1950,49
1951,39
1952,26
1953,35
1954,34
1955,37
1956,30
1957,37
1958,39
1959,39
1960,34
1961,19
1962,21
1963,27
1964,18
1965,18
1966,22
1967,23
1968,24
1969,17
1970,15
1971,10
1972,17
1973,12
1974,21
1975,24
1976,28
1977,17
1978,19
1979,12
1980,11
1981,14
1982,13
1983,14
1984,11
1985,9
1986,14
1987,20
1988,13
1989,10
1990,14
1991,10
1992,18
1993,19
1994,13
1995,15
1996,20
1997,11
1998,16
1999,7
2000,22
2001,12
2002,15
2003,11
2004,14
2005,9
2006,7
2007,8
2008,17
2009,7
2010,0
2011,12
2012,6
