year,Orland
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,7
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,7
1896,5
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,5
1904,7
1905,6
1906,6
1907,7
1908,5
1909,12
1910,0
1911,11
1912,17
1913,27
1914,41
1915,57
1916,64
1917,45
1918,54
1919,63
1920,65
1921,70
1922,90
1923,59
1924,62
1925,52
1926,49
1927,70
1928,38
1929,55
1930,49
1931,36
1932,41
1933,39
1934,30
1935,32
1936,31
1937,34
1938,28
1939,28
1940,18
1941,31
1942,21
1943,37
1944,30
1945,15
1946,16
1947,23
1948,24
1949,12
1950,15
1951,13
1952,9
1953,20
1954,18
1955,19
1956,11
1957,15
1958,10
1959,15
1960,12
1961,11
1962,6
1963,9
1964,9
1965,8
1966,8
1967,12
1968,5
1969,11
1970,10
1971,9
1972,6
1973,15
1974,10
1975,12
1976,5
1977,7
1978,0
1979,12
1980,12
1981,5
1982,7
1983,0
1984,7
1985,5
1986,5
1987,11
1988,0
1989,0
1990,5
1991,6
1992,5
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,8
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
