year,Obie
1880,9
1881,6
1882,5
1883,6
1884,9
1885,7
1886,10
1887,7
1888,8
1889,7
1890,9
1891,8
1892,6
1893,9
1894,14
1895,16
1896,13
1897,13
1898,13
1899,17
1900,20
1901,11
1902,17
1903,17
1904,17
1905,30
1906,14
1907,31
1908,23
1909,24
1910,29
1911,34
1912,69
1913,47
1914,68
1915,77
1916,85
1917,90
1918,63
1919,87
1920,79
1921,79
1922,77
1923,86
1924,95
1925,69
1926,75
1927,61
1928,62
1929,66
1930,65
1931,76
1932,74
1933,51
1934,48
1935,66
1936,66
1937,54
1938,49
1939,43
1940,68
1941,50
1942,49
1943,65
1944,46
1945,58
1946,59
1947,51
1948,60
1949,49
1950,44
1951,51
1952,45
1953,38
1954,48
1955,39
1956,28
1957,48
1958,36
1959,31
1960,27
1961,27
1962,35
1963,29
1964,29
1965,24
1966,31
1967,25
1968,28
1969,26
1970,27
1971,33
1972,24
1973,27
1974,34
1975,12
1976,22
1977,26
1978,23
1979,16
1980,16
1981,18
1982,17
1983,16
1984,10
1985,14
1986,10
1987,11
1988,17
1989,13
1990,10
1991,10
1992,9
1993,7
1994,12
1995,0
1996,0
1997,8
1998,6
1999,5
2000,7
2001,6
2002,7
2003,6
2004,27
2005,22
2006,23
2007,21
2008,15
2009,6
2010,9
2011,13
2012,12
