year,Octavia
1880,27
1881,19
1882,21
1883,26
1884,29
1885,24
1886,30
1887,29
1888,51
1889,33
1890,32
1891,36
1892,33
1893,41
1894,34
1895,38
1896,49
1897,47
1898,53
1899,41
1900,54
1901,38
1902,40
1903,40
1904,56
1905,53
1906,47
1907,67
1908,42
1909,54
1910,65
1911,47
1912,72
1913,70
1914,79
1915,63
1916,111
1917,100
1918,100
1919,95
1920,121
1921,105
1922,94
1923,84
1924,93
1925,74
1926,93
1927,75
1928,62
1929,51
1930,57
1931,60
1932,76
1933,57
1934,48
1935,42
1936,43
1937,52
1938,51
1939,39
1940,34
1941,42
1942,35
1943,41
1944,38
1945,44
1946,37
1947,37
1948,58
1949,55
1950,50
1951,55
1952,72
1953,61
1954,67
1955,57
1956,72
1957,86
1958,75
1959,71
1960,60
1961,80
1962,77
1963,103
1964,75
1965,83
1966,91
1967,104
1968,74
1969,100
1970,115
1971,139
1972,127
1973,166
1974,158
1975,194
1976,179
1977,191
1978,209
1979,193
1980,198
1981,223
1982,257
1983,257
1984,266
1985,306
1986,337
1987,451
1988,426
1989,395
1990,376
1991,387
1992,389
1993,366
1994,308
1995,268
1996,238
1997,249
1998,241
1999,205
2000,195
2001,183
2002,195
2003,165
2004,139
2005,161
2006,129
2007,94
2008,117
2009,107
2010,89
2011,72
2012,80
