year,Ouida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,0
1889,7
1890,8
1891,8
1892,9
1893,8
1894,12
1895,10
1896,20
1897,5
1898,24
1899,19
1900,26
1901,18
1902,22
1903,18
1904,20
1905,13
1906,18
1907,29
1908,24
1909,29
1910,31
1911,27
1912,46
1913,62
1914,69
1915,100
1916,97
1917,96
1918,117
1919,112
1920,124
1921,144
1922,140
1923,126
1924,151
1925,144
1926,135
1927,134
1928,138
1929,110
1930,97
1931,113
1932,115
1933,142
1934,113
1935,87
1936,88
1937,91
1938,82
1939,100
1940,67
1941,72
1942,63
1943,57
1944,66
1945,50
1946,56
1947,51
1948,56
1949,60
1950,42
1951,47
1952,48
1953,64
1954,42
1955,40
1956,41
1957,44
1958,36
1959,35
1960,24
1961,30
1962,23
1963,26
1964,29
1965,14
1966,19
1967,16
1968,18
1969,21
1970,16
1971,18
1972,9
1973,13
1974,7
1975,8
1976,15
1977,7
1978,6
1979,13
1980,8
1981,0
1982,0
1983,5
1984,0
1985,0
1986,6
1987,7
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
