year,Ophelia
1880,44
1881,27
1882,56
1883,55
1884,61
1885,51
1886,60
1887,70
1888,81
1889,75
1890,65
1891,83
1892,101
1893,89
1894,77
1895,91
1896,79
1897,103
1898,99
1899,112
1900,150
1901,99
1902,95
1903,122
1904,109
1905,125
1906,120
1907,132
1908,124
1909,160
1910,169
1911,129
1912,208
1913,187
1914,224
1915,265
1916,266
1917,285
1918,313
1919,331
1920,353
1921,347
1922,364
1923,323
1924,366
1925,365
1926,315
1927,316
1928,282
1929,255
1930,250
1931,202
1932,237
1933,211
1934,196
1935,186
1936,171
1937,184
1938,167
1939,143
1940,150
1941,131
1942,146
1943,165
1944,140
1945,119
1946,116
1947,145
1948,141
1949,139
1950,172
1951,164
1952,132
1953,160
1954,157
1955,112
1956,123
1957,131
1958,133
1959,105
1960,103
1961,87
1962,87
1963,76
1964,71
1965,67
1966,66
1967,55
1968,53
1969,55
1970,49
1971,39
1972,56
1973,44
1974,31
1975,38
1976,36
1977,32
1978,35
1979,36
1980,27
1981,34
1982,35
1983,24
1984,30
1985,35
1986,45
1987,25
1988,20
1989,19
1990,27
1991,24
1992,17
1993,26
1994,27
1995,22
1996,29
1997,25
1998,28
1999,27
2000,21
2001,18
2002,32
2003,37
2004,33
2005,43
2006,47
2007,65
2008,99
2009,76
2010,96
2011,109
2012,138
