year,Olevia
1880,0
1881,0
1882,6
1883,8
1884,6
1885,6
1886,10
1887,5
1888,10
1889,8
1890,16
1891,10
1892,12
1893,11
1894,12
1895,17
1896,9
1897,16
1898,16
1899,14
1900,17
1901,11
1902,19
1903,18
1904,22
1905,16
1906,20
1907,13
1908,24
1909,20
1910,23
1911,21
1912,40
1913,23
1914,38
1915,36
1916,33
1917,35
1918,44
1919,48
1920,42
1921,50
1922,36
1923,42
1924,41
1925,43
1926,50
1927,39
1928,36
1929,35
1930,27
1931,32
1932,30
1933,25
1934,21
1935,17
1936,19
1937,27
1938,30
1939,21
1940,13
1941,22
1942,15
1943,21
1944,23
1945,12
1946,17
1947,22
1948,11
1949,17
1950,11
1951,24
1952,15
1953,17
1954,10
1955,19
1956,11
1957,12
1958,12
1959,0
1960,9
1961,11
1962,7
1963,11
1964,7
1965,7
1966,7
1967,5
1968,7
1969,5
1970,5
1971,5
1972,9
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,7
1990,0
1991,8
1992,0
1993,10
1994,8
1995,5
1996,0
1997,12
1998,0
1999,0
2000,10
2001,6
2002,0
2003,0
2004,5
2005,5
2006,8
2007,15
2008,8
2009,5
2010,7
2011,5
2012,5
