year,Odessa
1880,14
1881,15
1882,10
1883,18
1884,18
1885,17
1886,19
1887,28
1888,25
1889,40
1890,34
1891,49
1892,37
1893,52
1894,57
1895,51
1896,45
1897,63
1898,66
1899,54
1900,91
1901,85
1902,90
1903,88
1904,107
1905,113
1906,132
1907,147
1908,167
1909,168
1910,194
1911,187
1912,225
1913,262
1914,269
1915,343
1916,358
1917,376
1918,437
1919,468
1920,470
1921,454
1922,458
1923,450
1924,469
1925,446
1926,393
1927,366
1928,371
1929,304
1930,289
1931,262
1932,278
1933,262
1934,272
1935,223
1936,235
1937,237
1938,197
1939,191
1940,184
1941,213
1942,179
1943,153
1944,198
1945,159
1946,152
1947,160
1948,181
1949,133
1950,143
1951,148
1952,137
1953,122
1954,127
1955,105
1956,111
1957,87
1958,106
1959,95
1960,95
1961,85
1962,84
1963,54
1964,91
1965,65
1966,53
1967,54
1968,48
1969,55
1970,39
1971,49
1972,43
1973,59
1974,43
1975,47
1976,53
1977,52
1978,54
1979,64
1980,45
1981,45
1982,66
1983,55
1984,40
1985,38
1986,33
1987,37
1988,41
1989,39
1990,48
1991,49
1992,41
1993,44
1994,37
1995,53
1996,39
1997,52
1998,47
1999,55
2000,56
2001,52
2002,52
2003,59
2004,60
2005,46
2006,51
2007,64
2008,58
2009,44
2010,49
2011,45
2012,46
