year,Oren
1880,13
1881,19
1882,18
1883,10
1884,24
1885,14
1886,23
1887,15
1888,17
1889,19
1890,12
1891,14
1892,16
1893,19
1894,20
1895,28
1896,13
1897,16
1898,20
1899,17
1900,22
1901,23
1902,25
1903,28
1904,25
1905,13
1906,20
1907,20
1908,18
1909,29
1910,32
1911,48
1912,66
1913,79
1914,100
1915,112
1916,117
1917,131
1918,132
1919,132
1920,144
1921,144
1922,136
1923,116
1924,128
1925,130
1926,112
1927,101
1928,116
1929,106
1930,86
1931,85
1932,67
1933,87
1934,74
1935,78
1936,65
1937,66
1938,70
1939,76
1940,84
1941,79
1942,70
1943,78
1944,67
1945,60
1946,64
1947,53
1948,65
1949,51
1950,65
1951,55
1952,56
1953,58
1954,51
1955,36
1956,43
1957,56
1958,55
1959,50
1960,46
1961,49
1962,38
1963,48
1964,41
1965,41
1966,39
1967,39
1968,43
1969,43
1970,55
1971,59
1972,49
1973,60
1974,44
1975,66
1976,42
1977,57
1978,50
1979,63
1980,48
1981,55
1982,66
1983,51
1984,57
1985,55
1986,58
1987,46
1988,63
1989,55
1990,43
1991,46
1992,50
1993,42
1994,47
1995,57
1996,48
1997,47
1998,56
1999,50
2000,48
2001,53
2002,58
2003,57
2004,60
2005,67
2006,96
2007,104
2008,100
2009,98
2010,99
2011,93
2012,129
