year,Orion
1880,5
1881,0
1882,0
1883,0
1884,0
1885,5
1886,5
1887,6
1888,6
1889,7
1890,0
1891,0
1892,0
1893,0
1894,0
1895,8
1896,16
1897,13
1898,7
1899,5
1900,7
1901,0
1902,0
1903,0
1904,5
1905,6
1906,0
1907,6
1908,6
1909,7
1910,0
1911,7
1912,11
1913,14
1914,16
1915,28
1916,25
1917,36
1918,26
1919,34
1920,33
1921,32
1922,27
1923,38
1924,30
1925,27
1926,22
1927,24
1928,29
1929,19
1930,20
1931,13
1932,16
1933,15
1934,16
1935,18
1936,14
1937,10
1938,12
1939,20
1940,9
1941,15
1942,17
1943,26
1944,6
1945,13
1946,7
1947,8
1948,11
1949,9
1950,10
1951,11
1952,6
1953,11
1954,11
1955,0
1956,16
1957,10
1958,9
1959,0
1960,7
1961,0
1962,10
1963,7
1964,0
1965,5
1966,13
1967,8
1968,14
1969,18
1970,12
1971,32
1972,38
1973,35
1974,55
1975,57
1976,57
1977,67
1978,66
1979,81
1980,61
1981,67
1982,87
1983,76
1984,72
1985,64
1986,56
1987,83
1988,78
1989,89
1990,90
1991,122
1992,92
1993,116
1994,155
1995,175
1996,193
1997,204
1998,394
1999,399
2000,397
2001,419
2002,379
2003,414
2004,432
2005,440
2006,499
2007,482
2008,508
2009,526
2010,573
2011,585
2012,696
