year,Oma
1880,18
1881,19
1882,33
1883,34
1884,42
1885,27
1886,39
1887,46
1888,65
1889,71
1890,68
1891,66
1892,72
1893,83
1894,90
1895,85
1896,97
1897,90
1898,113
1899,101
1900,116
1901,117
1902,122
1903,126
1904,111
1905,133
1906,125
1907,129
1908,132
1909,139
1910,134
1911,125
1912,164
1913,176
1914,189
1915,284
1916,294
1917,233
1918,291
1919,250
1920,282
1921,268
1922,233
1923,247
1924,259
1925,253
1926,202
1927,188
1928,184
1929,185
1930,175
1931,162
1932,164
1933,152
1934,120
1935,115
1936,105
1937,126
1938,119
1939,122
1940,99
1941,87
1942,92
1943,71
1944,72
1945,65
1946,46
1947,61
1948,73
1949,55
1950,41
1951,58
1952,52
1953,38
1954,40
1955,43
1956,36
1957,28
1958,31
1959,24
1960,25
1961,20
1962,21
1963,18
1964,18
1965,14
1966,11
1967,8
1968,11
1969,13
1970,18
1971,11
1972,8
1973,12
1974,12
1975,8
1976,10
1977,6
1978,7
1979,6
1980,8
1981,7
1982,0
1983,7
1984,0
1985,10
1986,0
1987,0
1988,0
1989,6
1990,5
1991,0
1992,0
1993,9
1994,0
1995,5
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,6
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
