year,Orie
1880,10
1881,0
1882,8
1883,11
1884,6
1885,5
1886,6
1887,10
1888,15
1889,9
1890,15
1891,6
1892,0
1893,0
1894,16
1895,15
1896,11
1897,12
1898,13
1899,15
1900,17
1901,6
1902,8
1903,11
1904,6
1905,9
1906,9
1907,10
1908,16
1909,14
1910,19
1911,16
1912,30
1913,23
1914,48
1915,48
1916,40
1917,58
1918,50
1919,44
1920,51
1921,55
1922,58
1923,49
1924,49
1925,42
1926,39
1927,41
1928,34
1929,31
1930,42
1931,30
1932,22
1933,28
1934,27
1935,29
1936,24
1937,17
1938,31
1939,23
1940,14
1941,27
1942,28
1943,20
1944,20
1945,20
1946,18
1947,20
1948,30
1949,22
1950,11
1951,23
1952,18
1953,8
1954,11
1955,17
1956,11
1957,16
1958,16
1959,8
1960,0
1961,5
1962,7
1963,8
1964,11
1965,7
1966,0
1967,10
1968,11
1969,8
1970,9
1971,5
1972,0
1973,10
1974,6
1975,10
1976,5
1977,0
1978,0
1979,6
1980,5
1981,0
1982,0
1983,0
1984,6
1985,5
1986,22
1987,15
1988,8
1989,23
1990,11
1991,8
1992,5
1993,6
1994,8
1995,0
1996,0
1997,0
1998,0
1999,6
2000,8
2001,7
2002,0
2003,6
2004,8
2005,9
2006,11
2007,0
2008,6
2009,6
2010,5
2011,0
2012,6
