year,Odis
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,6
1887,5
1888,10
1889,5
1890,8
1891,0
1892,6
1893,6
1894,9
1895,7
1896,10
1897,14
1898,14
1899,13
1900,28
1901,16
1902,12
1903,21
1904,19
1905,23
1906,20
1907,26
1908,25
1909,46
1910,55
1911,60
1912,73
1913,117
1914,134
1915,152
1916,198
1917,182
1918,167
1919,203
1920,206
1921,213
1922,203
1923,200
1924,186
1925,158
1926,193
1927,214
1928,188
1929,163
1930,148
1931,147
1932,157
1933,140
1934,137
1935,126
1936,111
1937,127
1938,132
1939,116
1940,125
1941,127
1942,122
1943,101
1944,111
1945,105
1946,89
1947,129
1948,112
1949,80
1950,112
1951,96
1952,87
1953,99
1954,86
1955,96
1956,79
1957,63
1958,67
1959,66
1960,65
1961,67
1962,45
1963,48
1964,61
1965,49
1966,53
1967,44
1968,51
1969,39
1970,44
1971,50
1972,45
1973,32
1974,35
1975,29
1976,37
1977,24
1978,29
1979,30
1980,35
1981,26
1982,25
1983,33
1984,33
1985,12
1986,18
1987,23
1988,15
1989,23
1990,23
1991,11
1992,10
1993,17
1994,18
1995,13
1996,6
1997,16
1998,9
1999,8
2000,9
2001,8
2002,6
2003,8
2004,0
2005,7
2006,8
2007,6
2008,0
2009,5
2010,10
2011,11
2012,7
