year,Ozzie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,12
1901,7
1902,0
1903,14
1904,7
1905,6
1906,0
1907,13
1908,13
1909,15
1910,14
1911,5
1912,16
1913,14
1914,27
1915,19
1916,22
1917,20
1918,38
1919,32
1920,45
1921,25
1922,29
1923,34
1924,20
1925,32
1926,35
1927,34
1928,29
1929,36
1930,27
1931,16
1932,22
1933,25
1934,43
1935,41
1936,45
1937,43
1938,19
1939,27
1940,30
1941,22
1942,30
1943,36
1944,40
1945,29
1946,29
1947,30
1948,30
1949,32
1950,33
1951,38
1952,39
1953,42
1954,40
1955,38
1956,38
1957,41
1958,29
1959,37
1960,27
1961,14
1962,31
1963,16
1964,27
1965,16
1966,14
1967,13
1968,10
1969,18
1970,12
1971,21
1972,9
1973,11
1974,11
1975,19
1976,16
1977,9
1978,6
1979,19
1980,8
1981,14
1982,14
1983,20
1984,9
1985,22
1986,27
1987,35
1988,23
1989,18
1990,22
1991,21
1992,22
1993,21
1994,21
1995,10
1996,14
1997,16
1998,15
1999,26
2000,23
2001,20
2002,33
2003,23
2004,23
2005,29
2006,24
2007,44
2008,42
2009,40
2010,44
2011,43
2012,34
