year,Orla
1880,5
1881,6
1882,6
1883,0
1884,7
1885,6
1886,0
1887,8
1888,0
1889,0
1890,10
1891,5
1892,6
1893,0
1894,8
1895,0
1896,0
1897,0
1898,10
1899,12
1900,6
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,7
1913,6
1914,16
1915,13
1916,26
1917,22
1918,16
1919,22
1920,27
1921,24
1922,27
1923,21
1924,19
1925,13
1926,20
1927,26
1928,20
1929,18
1930,17
1931,6
1932,8
1933,10
1934,17
1935,0
1936,6
1937,11
1938,6
1939,0
1940,7
1941,6
1942,0
1943,0
1944,11
1945,6
1946,0
1947,13
1948,0
1949,5
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,5
1957,5
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,5
1965,6
1966,6
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,9
1992,6
1993,0
1994,6
1995,0
1996,7
1997,9
1998,7
1999,11
2000,19
2001,17
2002,17
2003,14
2004,14
2005,15
2006,14
2007,21
2008,17
2009,31
2010,22
2011,28
2012,19
