year,Orlin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,12
1913,15
1914,22
1915,26
1916,36
1917,29
1918,33
1919,29
1920,38
1921,34
1922,39
1923,42
1924,36
1925,39
1926,39
1927,29
1928,29
1929,35
1930,30
1931,32
1932,48
1933,27
1934,30
1935,34
1936,33
1937,30
1938,18
1939,18
1940,27
1941,24
1942,24
1943,25
1944,21
1945,21
1946,12
1947,12
1948,21
1949,11
1950,11
1951,12
1952,14
1953,14
1954,5
1955,19
1956,5
1957,10
1958,8
1959,6
1960,7
1961,6
1962,8
1963,8
1964,7
1965,8
1966,5
1967,0
1968,0
1969,5
1970,0
1971,6
1972,7
1973,0
1974,8
1975,0
1976,5
1977,6
1978,5
1979,0
1980,0
1981,7
1982,0
1983,5
1984,0
1985,0
1986,5
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,10
1994,0
1995,0
1996,0
1997,0
1998,6
1999,11
2000,9
2001,7
2002,5
2003,6
2004,12
2005,11
2006,13
2007,18
2008,20
2009,12
2010,9
2011,10
2012,9
