year,Obed
1880,6
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,8
1911,0
1912,6
1913,0
1914,11
1915,10
1916,17
1917,10
1918,16
1919,15
1920,15
1921,12
1922,18
1923,17
1924,18
1925,9
1926,12
1927,18
1928,8
1929,9
1930,8
1931,8
1932,11
1933,5
1934,12
1935,11
1936,9
1937,6
1938,5
1939,0
1940,5
1941,10
1942,5
1943,10
1944,0
1945,6
1946,10
1947,6
1948,8
1949,8
1950,8
1951,5
1952,0
1953,5
1954,5
1955,9
1956,8
1957,6
1958,12
1959,14
1960,10
1961,10
1962,7
1963,13
1964,20
1965,5
1966,7
1967,15
1968,15
1969,12
1970,14
1971,13
1972,10
1973,25
1974,18
1975,15
1976,21
1977,17
1978,20
1979,31
1980,29
1981,33
1982,31
1983,28
1984,28
1985,33
1986,26
1987,37
1988,40
1989,41
1990,46
1991,64
1992,41
1993,62
1994,58
1995,58
1996,77
1997,63
1998,59
1999,71
2000,111
2001,87
2002,96
2003,94
2004,98
2005,137
2006,114
2007,118
2008,110
2009,117
2010,114
2011,98
2012,93
