year,Odie
1880,8
1881,14
1882,21
1883,22
1884,18
1885,14
1886,17
1887,16
1888,21
1889,33
1890,30
1891,12
1892,23
1893,30
1894,29
1895,36
1896,33
1897,33
1898,26
1899,52
1900,46
1901,36
1902,35
1903,36
1904,37
1905,39
1906,44
1907,38
1908,39
1909,49
1910,45
1911,50
1912,59
1913,75
1914,70
1915,105
1916,109
1917,101
1918,107
1919,107
1920,96
1921,92
1922,88
1923,69
1924,93
1925,89
1926,74
1927,88
1928,75
1929,64
1930,59
1931,87
1932,70
1933,47
1934,52
1935,49
1936,55
1937,48
1938,45
1939,41
1940,42
1941,45
1942,48
1943,47
1944,27
1945,41
1946,42
1947,39
1948,31
1949,30
1950,24
1951,21
1952,40
1953,31
1954,37
1955,24
1956,19
1957,33
1958,26
1959,25
1960,27
1961,10
1962,14
1963,21
1964,15
1965,15
1966,12
1967,13
1968,10
1969,6
1970,11
1971,20
1972,11
1973,13
1974,10
1975,7
1976,12
1977,9
1978,12
1979,7
1980,12
1981,7
1982,5
1983,8
1984,8
1985,7
1986,0
1987,8
1988,0
1989,7
1990,9
1991,5
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,7
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
