year,Osborne
1880,7
1881,0
1882,0
1883,0
1884,5
1885,6
1886,6
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,5
1894,7
1895,0
1896,6
1897,0
1898,0
1899,6
1900,6
1901,5
1902,5
1903,6
1904,0
1905,9
1906,7
1907,6
1908,5
1909,6
1910,19
1911,14
1912,28
1913,25
1914,30
1915,47
1916,38
1917,41
1918,37
1919,35
1920,37
1921,36
1922,31
1923,29
1924,30
1925,38
1926,33
1927,29
1928,26
1929,19
1930,22
1931,21
1932,26
1933,17
1934,13
1935,24
1936,30
1937,22
1938,13
1939,16
1940,16
1941,20
1942,21
1943,17
1944,15
1945,18
1946,18
1947,28
1948,16
1949,21
1950,16
1951,17
1952,13
1953,28
1954,13
1955,16
1956,13
1957,21
1958,19
1959,20
1960,17
1961,9
1962,6
1963,17
1964,15
1965,8
1966,9
1967,5
1968,0
1969,5
1970,11
1971,7
1972,5
1973,5
1974,7
1975,5
1976,7
1977,0
1978,8
1979,0
1980,5
1981,12
1982,5
1983,0
1984,7
1985,5
1986,6
1987,0
1988,11
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,5
2000,6
2001,6
2002,7
2003,0
2004,0
2005,0
2006,5
2007,5
2008,0
2009,5
2010,8
2011,8
2012,6
