year,Ossie
1880,14
1881,0
1882,0
1883,7
1884,15
1885,13
1886,10
1887,17
1888,16
1889,20
1890,9
1891,20
1892,20
1893,18
1894,28
1895,21
1896,17
1897,19
1898,24
1899,15
1900,47
1901,21
1902,33
1903,28
1904,30
1905,39
1906,29
1907,39
1908,42
1909,49
1910,61
1911,44
1912,68
1913,66
1914,83
1915,93
1916,99
1917,104
1918,99
1919,138
1920,125
1921,105
1922,111
1923,106
1924,90
1925,107
1926,91
1927,97
1928,98
1929,82
1930,93
1931,85
1932,69
1933,80
1934,82
1935,62
1936,55
1937,61
1938,68
1939,67
1940,63
1941,53
1942,66
1943,54
1944,61
1945,51
1946,48
1947,51
1948,57
1949,53
1950,44
1951,45
1952,44
1953,43
1954,48
1955,29
1956,40
1957,40
1958,20
1959,30
1960,15
1961,22
1962,20
1963,23
1964,24
1965,16
1966,22
1967,13
1968,14
1969,18
1970,11
1971,7
1972,7
1973,6
1974,7
1975,6
1976,14
1977,5
1978,10
1979,11
1980,13
1981,7
1982,7
1983,11
1984,5
1985,9
1986,5
1987,6
1988,0
1989,0
1990,8
1991,0
1992,8
1993,7
1994,0
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,5
2002,0
2003,6
2004,6
2005,0
2006,6
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
