year,Ozell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,8
1903,8
1904,8
1905,6
1906,10
1907,6
1908,7
1909,19
1910,26
1911,20
1912,31
1913,25
1914,39
1915,48
1916,62
1917,53
1918,62
1919,54
1920,83
1921,56
1922,66
1923,73
1924,71
1925,56
1926,79
1927,61
1928,55
1929,50
1930,58
1931,62
1932,46
1933,45
1934,62
1935,58
1936,46
1937,53
1938,52
1939,44
1940,39
1941,37
1942,34
1943,36
1944,47
1945,31
1946,28
1947,34
1948,35
1949,40
1950,33
1951,33
1952,36
1953,33
1954,38
1955,34
1956,34
1957,25
1958,17
1959,22
1960,25
1961,17
1962,27
1963,22
1964,17
1965,22
1966,18
1967,12
1968,14
1969,18
1970,17
1971,14
1972,12
1973,18
1974,7
1975,13
1976,10
1977,11
1978,9
1979,8
1980,9
1981,11
1982,10
1983,0
1984,13
1985,9
1986,6
1987,5
1988,10
1989,7
1990,10
1991,5
1992,6
1993,12
1994,6
1995,6
1996,6
1997,0
1998,7
1999,0
2000,0
2001,0
2002,6
2003,8
2004,0
2005,6
2006,6
2007,0
2008,0
2009,0
2010,0
2011,9
2012,0
