year,Odette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,11
1896,7
1897,0
1898,8
1899,12
1900,9
1901,5
1902,9
1903,0
1904,13
1905,20
1906,0
1907,11
1908,10
1909,13
1910,12
1911,12
1912,18
1913,14
1914,19
1915,31
1916,24
1917,18
1918,24
1919,23
1920,38
1921,36
1922,42
1923,24
1924,26
1925,42
1926,24
1927,22
1928,19
1929,26
1930,26
1931,19
1932,19
1933,12
1934,18
1935,20
1936,14
1937,11
1938,10
1939,6
1940,24
1941,8
1942,8
1943,16
1944,12
1945,10
1946,18
1947,19
1948,27
1949,12
1950,22
1951,26
1952,37
1953,34
1954,36
1955,28
1956,28
1957,31
1958,29
1959,21
1960,36
1961,30
1962,51
1963,40
1964,30
1965,30
1966,32
1967,21
1968,16
1969,12
1970,30
1971,25
1972,21
1973,22
1974,22
1975,18
1976,24
1977,19
1978,13
1979,9
1980,13
1981,17
1982,10
1983,16
1984,12
1985,10
1986,10
1987,15
1988,18
1989,14
1990,8
1991,13
1992,12
1993,11
1994,13
1995,28
1996,34
1997,20
1998,21
1999,12
2000,30
2001,40
2002,45
2003,25
2004,39
2005,30
2006,26
2007,31
2008,39
2009,32
2010,19
2011,49
2012,40
