year,Overton
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,6
1900,5
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,7
1908,5
1909,0
1910,0
1911,6
1912,7
1913,7
1914,12
1915,10
1916,9
1917,11
1918,29
1919,17
1920,26
1921,14
1922,17
1923,19
1924,18
1925,13
1926,12
1927,12
1928,11
1929,9
1930,10
1931,10
1932,0
1933,17
1934,5
1935,13
1936,8
1937,8
1938,0
1939,9
1940,0
1941,8
1942,6
1943,11
1944,0
1945,0
1946,5
1947,6
1948,0
1949,11
1950,5
1951,9
1952,6
1953,5
1954,11
1955,6
1956,6
1957,0
1958,6
1959,13
1960,0
1961,6
1962,0
1963,0
1964,0
1965,6
1966,0
1967,5
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,7
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
