year,Oliva
1880,0
1881,0
1882,0
1883,0
1884,5
1885,5
1886,0
1887,0
1888,0
1889,10
1890,5
1891,0
1892,6
1893,0
1894,11
1895,5
1896,9
1897,6
1898,0
1899,8
1900,9
1901,5
1902,11
1903,8
1904,13
1905,11
1906,12
1907,11
1908,7
1909,9
1910,12
1911,11
1912,12
1913,16
1914,10
1915,23
1916,29
1917,24
1918,24
1919,28
1920,28
1921,28
1922,16
1923,28
1924,30
1925,24
1926,18
1927,12
1928,15
1929,15
1930,11
1931,14
1932,11
1933,13
1934,9
1935,17
1936,6
1937,7
1938,9
1939,8
1940,6
1941,0
1942,8
1943,6
1944,7
1945,6
1946,8
1947,0
1948,5
1949,0
1950,5
1951,5
1952,5
1953,9
1954,0
1955,8
1956,6
1957,8
1958,0
1959,10
1960,5
1961,6
1962,6
1963,0
1964,8
1965,10
1966,0
1967,0
1968,5
1969,5
1970,7
1971,6
1972,0
1973,9
1974,13
1975,12
1976,15
1977,13
1978,14
1979,11
1980,16
1981,16
1982,15
1983,16
1984,12
1985,17
1986,15
1987,16
1988,26
1989,16
1990,34
1991,32
1992,34
1993,30
1994,23
1995,28
1996,20
1997,32
1998,28
1999,32
2000,34
2001,27
2002,29
2003,34
2004,21
2005,25
2006,25
2007,31
2008,30
2009,23
2010,21
2011,15
2012,18
