year,Selena
1880,5
1881,7
1882,5
1883,6
1884,11
1885,15
1886,10
1887,14
1888,18
1889,11
1890,14
1891,17
1892,11
1893,16
1894,13
1895,11
1896,13
1897,16
1898,21
1899,11
1900,20
1901,17
1902,17
1903,23
1904,17
1905,15
1906,16
1907,14
1908,19
1909,21
1910,21
1911,23
1912,28
1913,27
1914,37
1915,40
1916,34
1917,35
1918,32
1919,41
1920,46
1921,44
1922,43
1923,44
1924,37
1925,43
1926,45
1927,36
1928,40
1929,45
1930,44
1931,26
1932,31
1933,38
1934,25
1935,29
1936,24
1937,35
1938,35
1939,40
1940,22
1941,27
1942,41
1943,42
1944,64
1945,50
1946,41
1947,50
1948,57
1949,61
1950,58
1951,68
1952,91
1953,68
1954,84
1955,60
1956,54
1957,57
1958,211
1959,214
1960,199
1961,258
1962,240
1963,206
1964,226
1965,272
1966,299
1967,294
1968,271
1969,272
1970,298
1971,435
1972,358
1973,589
1974,446
1975,344
1976,464
1977,791
1978,597
1979,523
1980,451
1981,453
1982,390
1983,367
1984,368
1985,310
1986,282
1987,246
1988,211
1989,281
1990,262
1991,313
1992,375
1993,663
1994,917
1995,3839
1996,2296
1997,2006
1998,2277
1999,2122
2000,1648
2001,1487
2002,1293
2003,1177
2004,1247
2005,1374
2006,1157
2007,1053
2008,954
2009,1014
2010,978
2011,980
2012,1045
