year,Sabra
1880,5
1881,0
1882,0
1883,0
1884,5
1885,10
1886,7
1887,13
1888,9
1889,0
1890,17
1891,8
1892,6
1893,0
1894,6
1895,5
1896,9
1897,0
1898,9
1899,0
1900,12
1901,11
1902,12
1903,11
1904,6
1905,5
1906,0
1907,6
1908,5
1909,5
1910,9
1911,13
1912,10
1913,11
1914,11
1915,17
1916,17
1917,17
1918,14
1919,17
1920,20
1921,15
1922,20
1923,17
1924,27
1925,15
1926,13
1927,9
1928,13
1929,16
1930,23
1931,36
1932,40
1933,29
1934,45
1935,33
1936,22
1937,26
1938,44
1939,37
1940,41
1941,49
1942,46
1943,33
1944,34
1945,32
1946,38
1947,51
1948,44
1949,49
1950,49
1951,44
1952,49
1953,53
1954,59
1955,40
1956,50
1957,46
1958,82
1959,42
1960,47
1961,155
1962,136
1963,102
1964,117
1965,75
1966,62
1967,60
1968,55
1969,70
1970,63
1971,69
1972,55
1973,59
1974,46
1975,45
1976,67
1977,50
1978,47
1979,54
1980,61
1981,59
1982,45
1983,49
1984,59
1985,68
1986,69
1987,69
1988,88
1989,81
1990,73
1991,90
1992,69
1993,65
1994,57
1995,57
1996,66
1997,55
1998,56
1999,51
2000,40
2001,35
2002,32
2003,32
2004,33
2005,24
2006,21
2007,38
2008,30
2009,13
2010,19
2011,27
2012,23
