year,Starling
1880,5
1881,6
1882,0
1883,0
1884,0
1885,7
1886,5
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,7
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,13
1909,7
1910,6
1911,8
1912,9
1913,6
1914,11
1915,15
1916,19
1917,19
1918,13
1919,17
1920,26
1921,18
1922,17
1923,17
1924,15
1925,18
1926,9
1927,15
1928,9
1929,11
1930,22
1931,7
1932,16
1933,15
1934,16
1935,10
1936,9
1937,16
1938,9
1939,10
1940,14
1941,12
1942,7
1943,14
1944,10
1945,15
1946,14
1947,18
1948,10
1949,16
1950,18
1951,12
1952,8
1953,16
1954,11
1955,8
1956,14
1957,15
1958,0
1959,6
1960,0
1961,11
1962,6
1963,7
1964,7
1965,5
1966,0
1967,8
1968,6
1969,7
1970,6
1971,7
1972,12
1973,9
1974,9
1975,5
1976,6
1977,0
1978,9
1979,10
1980,0
1981,5
1982,0
1983,9
1984,0
1985,0
1986,0
1987,0
1988,11
1989,6
1990,6
1991,0
1992,12
1993,6
1994,6
1995,10
1996,0
1997,0
1998,6
1999,0
2000,8
2001,5
2002,10
2003,7
2004,0
2005,8
2006,5
2007,0
2008,12
2009,10
2010,14
2011,15
2012,8
