year,Sarrah
1880,0
1881,0
1882,7
1883,5
1884,0
1885,8
1886,6
1887,6
1888,12
1889,6
1890,0
1891,8
1892,11
1893,0
1894,8
1895,8
1896,11
1897,8
1898,8
1899,7
1900,14
1901,0
1902,10
1903,0
1904,5
1905,9
1906,0
1907,5
1908,5
1909,0
1910,0
1911,0
1912,0
1913,15
1914,10
1915,12
1916,14
1917,0
1918,8
1919,14
1920,12
1921,12
1922,11
1923,10
1924,19
1925,11
1926,13
1927,10
1928,7
1929,9
1930,6
1931,6
1932,6
1933,0
1934,0
1935,5
1936,5
1937,9
1938,9
1939,8
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,8
1947,6
1948,0
1949,0
1950,5
1951,0
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,7
1975,10
1976,14
1977,45
1978,35
1979,31
1980,33
1981,39
1982,30
1983,29
1984,32
1985,29
1986,33
1987,40
1988,43
1989,36
1990,37
1991,42
1992,30
1993,38
1994,42
1995,43
1996,39
1997,37
1998,35
1999,40
2000,31
2001,28
2002,27
2003,26
2004,25
2005,16
2006,21
2007,17
2008,10
2009,19
2010,16
2011,11
2012,12
