year,Sylvan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,0
1888,5
1889,0
1890,0
1891,5
1892,5
1893,0
1894,5
1895,0
1896,6
1897,7
1898,0
1899,11
1900,12
1901,0
1902,0
1903,8
1904,8
1905,0
1906,13
1907,13
1908,13
1909,10
1910,11
1911,24
1912,53
1913,48
1914,52
1915,66
1916,84
1917,73
1918,103
1919,71
1920,68
1921,76
1922,66
1923,69
1924,73
1925,80
1926,71
1927,52
1928,51
1929,54
1930,47
1931,40
1932,50
1933,37
1934,39
1935,44
1936,36
1937,33
1938,33
1939,32
1940,32
1941,28
1942,29
1943,33
1944,31
1945,19
1946,21
1947,29
1948,25
1949,30
1950,25
1951,19
1952,28
1953,18
1954,15
1955,11
1956,16
1957,16
1958,14
1959,15
1960,18
1961,15
1962,10
1963,12
1964,18
1965,5
1966,17
1967,0
1968,7
1969,6
1970,5
1971,16
1972,14
1973,11
1974,8
1975,18
1976,9
1977,9
1978,6
1979,9
1980,14
1981,13
1982,9
1983,12
1984,17
1985,14
1986,8
1987,15
1988,13
1989,11
1990,15
1991,7
1992,12
1993,26
1994,16
1995,11
1996,9
1997,11
1998,19
1999,10
2000,27
2001,22
2002,34
2003,26
2004,26
2005,18
2006,32
2007,18
2008,20
2009,27
2010,26
2011,24
2012,30
