year,Schuyler
1880,5
1881,0
1882,5
1883,5
1884,0
1885,0
1886,5
1887,0
1888,0
1889,5
1890,5
1891,0
1892,5
1893,5
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,9
1901,7
1902,0
1903,0
1904,5
1905,0
1906,5
1907,0
1908,6
1909,0
1910,0
1911,0
1912,7
1913,5
1914,11
1915,15
1916,15
1917,20
1918,21
1919,17
1920,18
1921,14
1922,8
1923,25
1924,15
1925,11
1926,16
1927,21
1928,15
1929,8
1930,11
1931,12
1932,14
1933,9
1934,8
1935,11
1936,8
1937,8
1938,10
1939,11
1940,16
1941,15
1942,15
1943,18
1944,11
1945,9
1946,16
1947,21
1948,31
1949,16
1950,22
1951,17
1952,19
1953,30
1954,14
1955,18
1956,23
1957,23
1958,21
1959,19
1960,24
1961,26
1962,19
1963,17
1964,15
1965,15
1966,19
1967,20
1968,25
1969,13
1970,20
1971,24
1972,28
1973,26
1974,24
1975,37
1976,31
1977,32
1978,35
1979,34
1980,41
1981,81
1982,122
1983,81
1984,97
1985,126
1986,105
1987,117
1988,122
1989,139
1990,151
1991,173
1992,163
1993,182
1994,164
1995,169
1996,154
1997,171
1998,177
1999,150
2000,137
2001,119
2002,117
2003,104
2004,106
2005,87
2006,74
2007,63
2008,56
2009,65
2010,58
2011,56
2012,54
