year,Salena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,8
1894,0
1895,0
1896,5
1897,5
1898,0
1899,5
1900,9
1901,0
1902,0
1903,7
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,6
1914,9
1915,9
1916,9
1917,5
1918,6
1919,11
1920,0
1921,7
1922,8
1923,7
1924,10
1925,7
1926,5
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,6
1937,5
1938,0
1939,6
1940,0
1941,5
1942,12
1943,0
1944,0
1945,5
1946,0
1947,6
1948,7
1949,6
1950,9
1951,7
1952,10
1953,5
1954,12
1955,20
1956,6
1957,15
1958,20
1959,19
1960,24
1961,32
1962,37
1963,38
1964,23
1965,36
1966,27
1967,45
1968,34
1969,47
1970,53
1971,67
1972,59
1973,84
1974,80
1975,68
1976,97
1977,188
1978,121
1979,112
1980,80
1981,94
1982,81
1983,78
1984,88
1985,80
1986,99
1987,112
1988,108
1989,123
1990,112
1991,103
1992,119
1993,154
1994,145
1995,197
1996,171
1997,146
1998,137
1999,129
2000,109
2001,102
2002,72
2003,87
2004,80
2005,69
2006,55
2007,58
2008,54
2009,59
2010,50
2011,45
2012,49
