year,Stasia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,7
1895,0
1896,0
1897,0
1898,9
1899,5
1900,11
1901,7
1902,7
1903,11
1904,7
1905,12
1906,0
1907,8
1908,10
1909,9
1910,12
1911,11
1912,28
1913,38
1914,52
1915,64
1916,76
1917,72
1918,74
1919,63
1920,76
1921,63
1922,58
1923,41
1924,53
1925,36
1926,28
1927,28
1928,19
1929,19
1930,11
1931,12
1932,11
1933,13
1934,11
1935,7
1936,6
1937,8
1938,7
1939,9
1940,11
1941,9
1942,7
1943,10
1944,7
1945,0
1946,0
1947,16
1948,8
1949,8
1950,8
1951,8
1952,0
1953,11
1954,7
1955,8
1956,16
1957,10
1958,11
1959,17
1960,14
1961,28
1962,24
1963,19
1964,18
1965,22
1966,17
1967,13
1968,24
1969,10
1970,16
1971,21
1972,17
1973,19
1974,10
1975,13
1976,15
1977,12
1978,18
1979,7
1980,20
1981,18
1982,17
1983,18
1984,16
1985,19
1986,22
1987,21
1988,27
1989,10
1990,14
1991,25
1992,13
1993,13
1994,12
1995,11
1996,11
1997,23
1998,27
1999,28
2000,17
2001,18
2002,16
2003,20
2004,11
2005,16
2006,11
2007,8
2008,8
2009,10
2010,11
2011,7
2012,6
