year,Sadie
1880,317
1881,366
1882,391
1883,425
1884,466
1885,514
1886,562
1887,519
1888,691
1889,669
1890,680
1891,617
1892,724
1893,706
1894,745
1895,834
1896,827
1897,757
1898,808
1899,705
1900,895
1901,676
1902,716
1903,688
1904,708
1905,750
1906,748
1907,771
1908,770
1909,748
1910,891
1911,806
1912,1039
1913,1111
1914,1303
1915,1464
1916,1534
1917,1404
1918,1458
1919,1412
1920,1293
1921,1254
1922,1272
1923,1180
1924,1129
1925,1056
1926,1041
1927,952
1928,901
1929,838
1930,819
1931,733
1932,686
1933,690
1934,655
1935,634
1936,562
1937,538
1938,534
1939,496
1940,531
1941,504
1942,457
1943,433
1944,412
1945,401
1946,382
1947,383
1948,324
1949,351
1950,313
1951,302
1952,299
1953,264
1954,253
1955,228
1956,240
1957,214
1958,180
1959,143
1960,153
1961,150
1962,122
1963,135
1964,106
1965,110
1966,90
1967,102
1968,82
1969,80
1970,88
1971,118
1972,104
1973,108
1974,149
1975,198
1976,219
1977,235
1978,259
1979,271
1980,277
1981,279
1982,276
1983,218
1984,217
1985,298
1986,329
1987,388
1988,407
1989,477
1990,541
1991,582
1992,609
1993,681
1994,850
1995,969
1996,1052
1997,1072
1998,1123
1999,1082
2000,1311
2001,1478
2002,1560
2003,1706
2004,1753
2005,1951
2006,2231
2007,3173
2008,3156
2009,2972
2010,2633
2011,2591
2012,2583
