year,Scottie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,6
1907,6
1908,0
1909,8
1910,0
1911,0
1912,7
1913,19
1914,18
1915,11
1916,16
1917,20
1918,16
1919,17
1920,19
1921,18
1922,27
1923,19
1924,21
1925,19
1926,20
1927,28
1928,27
1929,18
1930,22
1931,18
1932,37
1933,19
1934,26
1935,29
1936,39
1937,47
1938,36
1939,40
1940,53
1941,43
1942,53
1943,52
1944,42
1945,54
1946,50
1947,68
1948,59
1949,50
1950,54
1951,83
1952,75
1953,66
1954,90
1955,82
1956,78
1957,117
1958,122
1959,118
1960,140
1961,163
1962,207
1963,187
1964,261
1965,253
1966,411
1967,393
1968,407
1969,418
1970,429
1971,666
1972,454
1973,436
1974,398
1975,377
1976,278
1977,248
1978,238
1979,263
1980,244
1981,204
1982,220
1983,140
1984,147
1985,147
1986,131
1987,129
1988,104
1989,121
1990,128
1991,123
1992,130
1993,113
1994,127
1995,98
1996,111
1997,95
1998,81
1999,56
2000,70
2001,46
2002,53
2003,51
2004,40
2005,34
2006,42
2007,36
2008,43
2009,46
2010,30
2011,33
2012,34
