year,Silvester
1880,0
1881,0
1882,0
1883,0
1884,7
1885,0
1886,0
1887,6
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,5
1902,0
1903,5
1904,5
1905,0
1906,5
1907,0
1908,0
1909,5
1910,12
1911,7
1912,9
1913,9
1914,15
1915,14
1916,17
1917,15
1918,14
1919,21
1920,26
1921,19
1922,19
1923,31
1924,20
1925,24
1926,14
1927,20
1928,18
1929,27
1930,19
1931,14
1932,16
1933,13
1934,13
1935,11
1936,7
1937,6
1938,12
1939,10
1940,9
1941,10
1942,5
1943,12
1944,12
1945,17
1946,11
1947,13
1948,14
1949,0
1950,10
1951,15
1952,19
1953,16
1954,21
1955,22
1956,20
1957,13
1958,17
1959,17
1960,32
1961,26
1962,20
1963,29
1964,15
1965,14
1966,11
1967,9
1968,11
1969,10
1970,11
1971,7
1972,6
1973,6
1974,8
1975,9
1976,7
1977,13
1978,8
1979,8
1980,7
1981,14
1982,0
1983,7
1984,13
1985,14
1986,11
1987,10
1988,15
1989,8
1990,10
1991,12
1992,9
1993,12
1994,10
1995,0
1996,8
1997,12
1998,6
1999,9
2000,5
2001,6
2002,0
2003,8
2004,5
2005,6
2006,9
2007,9
2008,0
2009,0
2010,5
2011,0
2012,0
