year,Salina
1880,0
1881,0
1882,6
1883,0
1884,5
1885,0
1886,6
1887,0
1888,7
1889,0
1890,6
1891,8
1892,5
1893,0
1894,7
1895,5
1896,6
1897,5
1898,6
1899,6
1900,8
1901,6
1902,0
1903,5
1904,0
1905,5
1906,8
1907,9
1908,5
1909,0
1910,10
1911,7
1912,9
1913,7
1914,0
1915,8
1916,8
1917,11
1918,7
1919,12
1920,9
1921,8
1922,8
1923,10
1924,8
1925,10
1926,10
1927,6
1928,6
1929,8
1930,0
1931,8
1932,0
1933,6
1934,7
1935,0
1936,0
1937,0
1938,13
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,7
1946,0
1947,11
1948,14
1949,8
1950,7
1951,10
1952,16
1953,7
1954,15
1955,7
1956,6
1957,9
1958,22
1959,15
1960,27
1961,35
1962,35
1963,25
1964,33
1965,33
1966,27
1967,46
1968,49
1969,47
1970,39
1971,97
1972,81
1973,97
1974,103
1975,90
1976,161
1977,386
1978,202
1979,169
1980,186
1981,186
1982,192
1983,166
1984,162
1985,156
1986,160
1987,151
1988,180
1989,194
1990,176
1991,199
1992,205
1993,252
1994,261
1995,233
1996,142
1997,129
1998,117
1999,108
2000,98
2001,92
2002,88
2003,82
2004,68
2005,61
2006,78
2007,59
2008,61
2009,61
2010,42
2011,63
2012,58
