year,Selina
1880,10
1881,9
1882,0
1883,14
1884,11
1885,11
1886,9
1887,15
1888,13
1889,18
1890,24
1891,19
1892,19
1893,12
1894,11
1895,26
1896,17
1897,22
1898,22
1899,13
1900,27
1901,17
1902,13
1903,20
1904,16
1905,19
1906,15
1907,19
1908,13
1909,14
1910,19
1911,19
1912,27
1913,20
1914,17
1915,27
1916,36
1917,32
1918,47
1919,37
1920,32
1921,22
1922,32
1923,37
1924,34
1925,28
1926,33
1927,21
1928,24
1929,19
1930,24
1931,12
1932,15
1933,18
1934,15
1935,18
1936,14
1937,14
1938,12
1939,19
1940,12
1941,13
1942,9
1943,23
1944,19
1945,27
1946,13
1947,22
1948,25
1949,28
1950,27
1951,54
1952,36
1953,36
1954,60
1955,54
1956,58
1957,68
1958,103
1959,148
1960,168
1961,203
1962,247
1963,246
1964,195
1965,244
1966,270
1967,232
1968,198
1969,146
1970,150
1971,222
1972,198
1973,220
1974,198
1975,154
1976,200
1977,399
1978,288
1979,242
1980,232
1981,294
1982,287
1983,255
1984,251
1985,264
1986,265
1987,248
1988,231
1989,332
1990,269
1991,311
1992,363
1993,496
1994,614
1995,704
1996,376
1997,357
1998,336
1999,347
2000,279
2001,262
2002,262
2003,238
2004,240
2005,294
2006,295
2007,289
2008,277
2009,252
2010,217
2011,224
2012,242
