year,Susanne
1880,0
1881,5
1882,0
1883,0
1884,6
1885,6
1886,6
1887,0
1888,7
1889,6
1890,7
1891,9
1892,8
1893,6
1894,0
1895,8
1896,8
1897,10
1898,8
1899,12
1900,7
1901,0
1902,9
1903,0
1904,7
1905,7
1906,11
1907,9
1908,5
1909,16
1910,14
1911,21
1912,32
1913,23
1914,38
1915,40
1916,43
1917,52
1918,50
1919,53
1920,58
1921,60
1922,64
1923,55
1924,59
1925,76
1926,58
1927,80
1928,75
1929,82
1930,97
1931,103
1932,131
1933,121
1934,141
1935,162
1936,184
1937,228
1938,214
1939,264
1940,320
1941,386
1942,405
1943,492
1944,512
1945,514
1946,680
1947,691
1948,607
1949,714
1950,658
1951,601
1952,559
1953,638
1954,626
1955,626
1956,712
1957,673
1958,621
1959,575
1960,560
1961,590
1962,614
1963,622
1964,659
1965,591
1966,591
1967,671
1968,658
1969,597
1970,557
1971,511
1972,404
1973,363
1974,310
1975,266
1976,252
1977,269
1978,257
1979,229
1980,181
1981,164
1982,152
1983,147
1984,124
1985,109
1986,99
1987,85
1988,92
1989,79
1990,56
1991,69
1992,55
1993,47
1994,32
1995,36
1996,50
1997,29
1998,41
1999,36
2000,32
2001,17
2002,20
2003,27
2004,15
2005,14
2006,14
2007,13
2008,13
2009,9
2010,13
2011,17
2012,15
