year,Sumner
1880,10
1881,8
1882,5
1883,12
1884,8
1885,8
1886,10
1887,5
1888,6
1889,5
1890,7
1891,6
1892,6
1893,5
1894,0
1895,0
1896,6
1897,6
1898,7
1899,0
1900,6
1901,6
1902,5
1903,0
1904,9
1905,0
1906,6
1907,6
1908,5
1909,7
1910,13
1911,15
1912,25
1913,30
1914,28
1915,41
1916,52
1917,37
1918,51
1919,47
1920,65
1921,46
1922,65
1923,51
1924,61
1925,57
1926,61
1927,48
1928,56
1929,60
1930,40
1931,41
1932,28
1933,32
1934,27
1935,26
1936,22
1937,16
1938,14
1939,23
1940,20
1941,22
1942,27
1943,22
1944,22
1945,16
1946,25
1947,23
1948,21
1949,20
1950,19
1951,9
1952,14
1953,19
1954,13
1955,12
1956,8
1957,11
1958,10
1959,6
1960,10
1961,8
1962,0
1963,8
1964,9
1965,8
1966,5
1967,0
1968,12
1969,7
1970,7
1971,7
1972,0
1973,7
1974,9
1975,0
1976,6
1977,0
1978,0
1979,16
1980,10
1981,5
1982,7
1983,6
1984,7
1985,18
1986,14
1987,9
1988,20
1989,7
1990,20
1991,9
1992,27
1993,24
1994,46
1995,31
1996,32
1997,33
1998,28
1999,23
2000,29
2001,21
2002,22
2003,24
2004,29
2005,26
2006,23
2007,20
2008,17
2009,18
2010,17
2011,16
2012,19
