year,Seymour
1880,14
1881,12
1882,10
1883,10
1884,10
1885,10
1886,10
1887,8
1888,10
1889,10
1890,17
1891,8
1892,11
1893,9
1894,12
1895,11
1896,13
1897,9
1898,9
1899,8
1900,10
1901,9
1902,9
1903,7
1904,12
1905,14
1906,8
1907,10
1908,16
1909,17
1910,26
1911,49
1912,118
1913,157
1914,245
1915,303
1916,375
1917,434
1918,511
1919,576
1920,660
1921,701
1922,734
1923,724
1924,790
1925,668
1926,661
1927,568
1928,573
1929,464
1930,446
1931,341
1932,267
1933,245
1934,186
1935,159
1936,162
1937,145
1938,114
1939,112
1940,84
1941,81
1942,81
1943,65
1944,50
1945,58
1946,45
1947,63
1948,44
1949,33
1950,28
1951,26
1952,35
1953,29
1954,27
1955,24
1956,30
1957,29
1958,19
1959,19
1960,19
1961,20
1962,9
1963,16
1964,8
1965,16
1966,18
1967,18
1968,10
1969,9
1970,12
1971,14
1972,11
1973,5
1974,10
1975,7
1976,7
1977,12
1978,6
1979,0
1980,0
1981,0
1982,6
1983,0
1984,0
1985,6
1986,8
1987,6
1988,9
1989,5
1990,6
1991,8
1992,6
1993,7
1994,0
1995,0
1996,5
1997,0
1998,0
1999,6
2000,0
2001,7
2002,0
2003,0
2004,8
2005,0
2006,5
2007,6
2008,0
2009,0
2010,5
2011,6
2012,0
