year,Susana
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,9
1887,5
1888,0
1889,10
1890,7
1891,0
1892,0
1893,5
1894,5
1895,6
1896,5
1897,8
1898,9
1899,7
1900,6
1901,6
1902,0
1903,6
1904,7
1905,9
1906,0
1907,14
1908,9
1909,12
1910,17
1911,14
1912,12
1913,19
1914,13
1915,17
1916,15
1917,33
1918,21
1919,27
1920,19
1921,21
1922,19
1923,36
1924,48
1925,24
1926,36
1927,49
1928,37
1929,25
1930,40
1931,33
1932,38
1933,24
1934,24
1935,25
1936,29
1937,33
1938,25
1939,29
1940,18
1941,28
1942,23
1943,30
1944,44
1945,38
1946,54
1947,46
1948,65
1949,71
1950,83
1951,70
1952,72
1953,103
1954,125
1955,106
1956,137
1957,163
1958,204
1959,189
1960,175
1961,183
1962,200
1963,193
1964,187
1965,189
1966,214
1967,197
1968,238
1969,200
1970,245
1971,275
1972,287
1973,321
1974,353
1975,373
1976,422
1977,361
1978,388
1979,427
1980,431
1981,478
1982,405
1983,387
1984,401
1985,381
1986,386
1987,385
1988,418
1989,433
1990,429
1991,405
1992,429
1993,538
1994,491
1995,407
1996,418
1997,358
1998,330
1999,342
2000,323
2001,298
2002,319
2003,276
2004,291
2005,293
2006,301
2007,267
2008,257
2009,223
2010,218
2011,198
2012,158
