year,Selma
1880,36
1881,47
1882,54
1883,80
1884,63
1885,68
1886,91
1887,97
1888,139
1889,133
1890,165
1891,206
1892,209
1893,211
1894,212
1895,208
1896,238
1897,183
1898,229
1899,206
1900,239
1901,242
1902,252
1903,218
1904,231
1905,224
1906,252
1907,231
1908,262
1909,256
1910,299
1911,327
1912,393
1913,460
1914,601
1915,753
1916,728
1917,795
1918,811
1919,696
1920,768
1921,712
1922,701
1923,710
1924,741
1925,679
1926,681
1927,680
1928,608
1929,569
1930,559
1931,432
1932,335
1933,301
1934,264
1935,220
1936,250
1937,231
1938,194
1939,163
1940,156
1941,149
1942,159
1943,122
1944,134
1945,110
1946,143
1947,140
1948,135
1949,120
1950,105
1951,125
1952,107
1953,119
1954,112
1955,112
1956,115
1957,104
1958,95
1959,90
1960,93
1961,121
1962,90
1963,66
1964,62
1965,92
1966,54
1967,40
1968,34
1969,35
1970,40
1971,37
1972,23
1973,26
1974,17
1975,22
1976,20
1977,27
1978,22
1979,19
1980,25
1981,28
1982,27
1983,18
1984,19
1985,11
1986,27
1987,19
1988,25
1989,24
1990,34
1991,30
1992,32
1993,17
1994,22
1995,32
1996,42
1997,54
1998,64
1999,70
2000,81
2001,90
2002,74
2003,96
2004,118
2005,117
2006,103
2007,100
2008,90
2009,87
2010,86
2011,95
2012,72
