year,Smith
1880,15
1881,18
1882,16
1883,13
1884,18
1885,28
1886,16
1887,18
1888,24
1889,15
1890,15
1891,12
1892,22
1893,14
1894,14
1895,16
1896,13
1897,8
1898,15
1899,14
1900,26
1901,10
1902,13
1903,15
1904,17
1905,13
1906,19
1907,19
1908,17
1909,19
1910,30
1911,18
1912,45
1913,40
1914,45
1915,60
1916,60
1917,64
1918,61
1919,58
1920,69
1921,76
1922,69
1923,53
1924,56
1925,51
1926,43
1927,42
1928,54
1929,46
1930,38
1931,39
1932,51
1933,38
1934,39
1935,45
1936,26
1937,30
1938,27
1939,43
1940,32
1941,26
1942,30
1943,19
1944,31
1945,24
1946,18
1947,35
1948,44
1949,18
1950,21
1951,27
1952,22
1953,18
1954,22
1955,20
1956,22
1957,16
1958,17
1959,13
1960,26
1961,12
1962,16
1963,18
1964,15
1965,12
1966,18
1967,14
1968,13
1969,20
1970,12
1971,7
1972,5
1973,16
1974,21
1975,9
1976,24
1977,13
1978,16
1979,13
1980,11
1981,32
1982,25
1983,26
1984,33
1985,25
1986,23
1987,20
1988,24
1989,20
1990,15
1991,14
1992,17
1993,19
1994,27
1995,21
1996,20
1997,20
1998,21
1999,35
2000,26
2001,30
2002,22
2003,24
2004,43
2005,50
2006,41
2007,62
2008,59
2009,56
2010,78
2011,82
2012,98
