year,Sarah (F),Sarah (M)
1880,0.006393,0.000000
1881,0.006362,0.000000
1882,0.006365,0.000000
1883,0.006264,0.000032
1884,0.006235,0.000025
1885,0.005912,0.000029
1886,0.006145,0.000023
1887,0.005804,0.000000
1888,0.005860,0.000000
1889,0.005987,0.000017
1890,0.005926,0.000017
1891,0.005822,0.000000
1892,0.005380,0.000018
1893,0.005018,0.000018
1894,0.005022,0.000030
1895,0.005062,0.000023
1896,0.004730,0.000014
1897,0.004937,0.000026
1898,0.004719,0.000013
1899,0.004678,0.000032
1900,0.004563,0.000011
1901,0.004378,0.000014
1902,0.004422,0.000013
1903,0.004074,0.000013
1904,0.003950,0.000017
1905,0.004156,0.000012
1906,0.003961,0.000000
1907,0.003865,0.000000
1908,0.003712,0.000000
1909,0.003609,0.000022
1910,0.003679,0.000010
1911,0.003416,0.000014
1912,0.002954,0.000016
1913,0.002795,0.000009
1914,0.002598,0.000009
1915,0.002409,0.000008
1916,0.002479,0.000010
1917,0.002376,0.000005
1918,0.002289,0.000006
1919,0.002379,0.000005
1920,0.002223,0.000006
1921,0.002152,0.000008
1922,0.002177,0.000008
1923,0.002156,0.000008
1924,0.002117,0.000012
1925,0.002010,0.000010
1926,0.001927,0.000006
1927,0.001966,0.000014
1928,0.001877,0.000015
1929,0.001742,0.000010
1930,0.001763,0.000013
1931,0.001726,0.000010
1932,0.001705,0.000011
1933,0.001812,0.000015
1934,0.001733,0.000013
1935,0.001731,0.000009
1936,0.001692,0.000010
1937,0.001683,0.000012
1938,0.001694,0.000010
1939,0.001666,0.000008
1940,0.001680,0.000010
1941,0.001634,0.000008
1942,0.001501,0.000007
1943,0.001413,0.000006
1944,0.001435,0.000003
1945,0.001355,0.000004
1946,0.001222,0.000004
1947,0.001172,0.000005
1948,0.001203,0.000003
1949,0.001233,0.000003
1950,0.001184,0.000003
1951,0.001095,0.000002
1952,0.001064,0.000002
1953,0.001059,0.000003
1954,0.001015,0.000003
1955,0.000992,0.000004
1956,0.000940,0.000003
1957,0.000949,0.000003
1958,0.000947,0.000003
1959,0.000932,0.000004
1960,0.001013,0.000003
1961,0.001016,0.000004
1962,0.001127,0.000003
1963,0.001156,0.000004
1964,0.001180,0.000004
1965,0.001119,0.000005
1966,0.001161,0.000004
1967,0.001219,0.000004
1968,0.001328,0.000004
1969,0.001460,0.000004
1970,0.001558,0.000004
1971,0.001704,0.000005
1972,0.001944,0.000006
1973,0.002392,0.000011
1974,0.003219,0.000010
1975,0.003698,0.000015
1976,0.004610,0.000015
1977,0.005697,0.000020
1978,0.006295,0.000026
1979,0.006318,0.000025
1980,0.007476,0.000024
1981,0.008145,0.000032
1982,0.008123,0.000036
1983,0.007866,0.000034
1984,0.007421,0.000035
1985,0.006973,0.000028
1986,0.007916,0.000033
1987,0.007737,0.000031
1988,0.007680,0.000024
1989,0.007231,0.000038
1990,0.006534,0.000014
1991,0.006479,0.000010
1992,0.006415,0.000014
1993,0.006431,0.000012
1994,0.005994,0.000012
1995,0.005835,0.000009
1996,0.005767,0.000009
1997,0.005708,0.000005
1998,0.005404,0.000007
1999,0.005169,0.000004
2000,0.004682,0.000007
2001,0.004248,0.000006
2002,0.003949,0.000006
2003,0.003620,0.000007
2004,0.003334,0.000014
2005,0.003001,0.000005
2006,0.002820,0.000004
2007,0.002501,0.000003
2008,0.002301,0.000004
2009,0.002036,0.000003
2010,0.001711,0.000001
2011,0.001518,0.000001
2012,0.001417,0.000002
2013,0.001285,0.000001
