year,Saverio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,7
1910,5
1911,6
1912,16
1913,23
1914,32
1915,23
1916,38
1917,26
1918,35
1919,28
1920,31
1921,28
1922,46
1923,37
1924,38
1925,26
1926,40
1927,30
1928,20
1929,22
1930,32
1931,43
1932,25
1933,21
1934,14
1935,19
1936,16
1937,16
1938,16
1939,15
1940,22
1941,13
1942,18
1943,23
1944,11
1945,12
1946,13
1947,23
1948,6
1949,16
1950,19
1951,14
1952,12
1953,8
1954,18
1955,13
1956,19
1957,17
1958,19
1959,12
1960,11
1961,8
1962,14
1963,16
1964,16
1965,22
1966,24
1967,18
1968,22
1969,15
1970,22
1971,13
1972,12
1973,12
1974,11
1975,13
1976,18
1977,10
1978,9
1979,12
1980,6
1981,10
1982,9
1983,0
1984,5
1985,7
1986,6
1987,14
1988,9
1989,11
1990,8
1991,8
1992,7
1993,9
1994,11
1995,10
1996,14
1997,6
1998,10
1999,17
2000,18
2001,13
2002,6
2003,11
2004,9
2005,12
2006,13
2007,10
2008,11
2009,9
2010,8
2011,11
2012,15
