year,Stacie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,8
1915,5
1916,6
1917,5
1918,10
1919,12
1920,8
1921,7
1922,14
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,12
1946,9
1947,8
1948,25
1949,21
1950,21
1951,14
1952,33
1953,39
1954,81
1955,85
1956,108
1957,172
1958,194
1959,256
1960,310
1961,367
1962,419
1963,611
1964,586
1965,628
1966,648
1967,834
1968,1086
1969,1511
1970,2032
1971,2574
1972,1822
1973,1846
1974,1768
1975,1850
1976,1736
1977,1495
1978,1476
1979,1334
1980,1154
1981,1063
1982,874
1983,922
1984,993
1985,893
1986,812
1987,741
1988,719
1989,624
1990,608
1991,437
1992,451
1993,410
1994,317
1995,247
1996,230
1997,165
1998,179
1999,153
2000,106
2001,97
2002,92
2003,73
2004,74
2005,88
2006,87
2007,86
2008,69
2009,50
2010,44
2011,43
2012,35
