year,Simmie
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,6
1892,0
1893,5
1894,0
1895,0
1896,6
1897,0
1898,5
1899,9
1900,6
1901,0
1902,0
1903,6
1904,7
1905,0
1906,0
1907,0
1908,0
1909,14
1910,5
1911,10
1912,10
1913,10
1914,18
1915,20
1916,28
1917,28
1918,38
1919,22
1920,34
1921,21
1922,24
1923,14
1924,25
1925,28
1926,14
1927,36
1928,26
1929,20
1930,24
1931,17
1932,24
1933,27
1934,19
1935,22
1936,16
1937,16
1938,15
1939,25
1940,16
1941,17
1942,23
1943,27
1944,26
1945,16
1946,20
1947,30
1948,21
1949,21
1950,12
1951,15
1952,12
1953,21
1954,12
1955,19
1956,20
1957,12
1958,11
1959,16
1960,19
1961,15
1962,8
1963,16
1964,13
1965,10
1966,10
1967,11
1968,7
1969,8
1970,12
1971,10
1972,0
1973,0
1974,9
1975,11
1976,0
1977,13
1978,8
1979,6
1980,10
1981,5
1982,0
1983,5
1984,5
1985,9
1986,6
1987,5
1988,0
1989,5
1990,0
1991,5
1992,5
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
