year,Sherwood
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,5
1897,7
1898,6
1899,0
1900,0
1901,0
1902,6
1903,0
1904,6
1905,7
1906,10
1907,0
1908,11
1909,9
1910,20
1911,22
1912,34
1913,51
1914,66
1915,86
1916,77
1917,88
1918,84
1919,92
1920,97
1921,92
1922,91
1923,97
1924,106
1925,110
1926,109
1927,97
1928,118
1929,98
1930,88
1931,90
1932,88
1933,100
1934,92
1935,93
1936,103
1937,83
1938,120
1939,87
1940,118
1941,115
1942,101
1943,106
1944,100
1945,73
1946,96
1947,115
1948,78
1949,88
1950,88
1951,91
1952,89
1953,83
1954,85
1955,71
1956,95
1957,94
1958,83
1959,79
1960,57
1961,45
1962,53
1963,58
1964,49
1965,47
1966,46
1967,36
1968,39
1969,34
1970,42
1971,33
1972,36
1973,30
1974,22
1975,19
1976,28
1977,31
1978,24
1979,21
1980,17
1981,13
1982,16
1983,17
1984,20
1985,16
1986,16
1987,9
1988,12
1989,21
1990,17
1991,14
1992,13
1993,14
1994,10
1995,10
1996,11
1997,14
1998,6
1999,11
2000,11
2001,6
2002,0
2003,8
2004,8
2005,0
2006,7
2007,5
2008,5
2009,6
2010,5
2011,0
2012,6
