year,Spence
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,11
1916,13
1917,5
1918,9
1919,0
1920,9
1921,7
1922,7
1923,0
1924,8
1925,0
1926,0
1927,0
1928,6
1929,6
1930,0
1931,5
1932,8
1933,5
1934,5
1935,6
1936,6
1937,12
1938,0
1939,0
1940,10
1941,12
1942,8
1943,7
1944,0
1945,7
1946,5
1947,12
1948,11
1949,9
1950,8
1951,0
1952,12
1953,10
1954,10
1955,9
1956,11
1957,14
1958,15
1959,8
1960,10
1961,10
1962,12
1963,12
1964,8
1965,8
1966,5
1967,8
1968,20
1969,41
1970,47
1971,30
1972,24
1973,17
1974,13
1975,9
1976,10
1977,13
1978,11
1979,14
1980,14
1981,17
1982,10
1983,12
1984,10
1985,8
1986,17
1987,14
1988,18
1989,16
1990,21
1991,9
1992,16
1993,6
1994,12
1995,9
1996,8
1997,14
1998,11
1999,12
2000,14
2001,17
2002,19
2003,11
2004,11
2005,20
2006,13
2007,11
2008,0
2009,9
2010,9
2011,10
2012,7
