year,Sina
1880,12
1881,13
1882,0
1883,14
1884,19
1885,6
1886,12
1887,8
1888,10
1889,18
1890,17
1891,17
1892,12
1893,16
1894,11
1895,14
1896,11
1897,14
1898,11
1899,12
1900,14
1901,8
1902,10
1903,11
1904,8
1905,11
1906,7
1907,14
1908,11
1909,12
1910,5
1911,14
1912,16
1913,16
1914,8
1915,14
1916,9
1917,23
1918,17
1919,18
1920,13
1921,14
1922,14
1923,16
1924,13
1925,11
1926,13
1927,16
1928,18
1929,0
1930,8
1931,9
1932,9
1933,11
1934,7
1935,10
1936,13
1937,7
1938,11
1939,5
1940,11
1941,9
1942,7
1943,12
1944,6
1945,11
1946,11
1947,19
1948,14
1949,16
1950,9
1951,7
1952,10
1953,8
1954,8
1955,8
1956,6
1957,7
1958,12
1959,10
1960,10
1961,10
1962,9
1963,8
1964,11
1965,7
1966,9
1967,11
1968,12
1969,16
1970,7
1971,19
1972,15
1973,8
1974,13
1975,13
1976,8
1977,12
1978,14
1979,29
1980,16
1981,9
1982,31
1983,18
1984,17
1985,28
1986,20
1987,24
1988,23
1989,30
1990,31
1991,27
1992,32
1993,25
1994,32
1995,32
1996,36
1997,28
1998,27
1999,26
2000,31
2001,16
2002,19
2003,24
2004,27
2005,20
2006,25
2007,21
2008,18
2009,25
2010,31
2011,19
2012,13
