year,Shelley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,8
1894,5
1895,7
1896,5
1897,0
1898,10
1899,9
1900,9
1901,0
1902,0
1903,0
1904,8
1905,6
1906,9
1907,6
1908,6
1909,14
1910,10
1911,9
1912,12
1913,12
1914,15
1915,37
1916,20
1917,21
1918,24
1919,26
1920,32
1921,29
1922,43
1923,23
1924,22
1925,22
1926,25
1927,37
1928,39
1929,25
1930,34
1931,44
1932,43
1933,39
1934,55
1935,58
1936,66
1937,70
1938,52
1939,73
1940,82
1941,71
1942,120
1943,133
1944,156
1945,199
1946,222
1947,249
1948,431
1949,1045
1950,1703
1951,1891
1952,1920
1953,1976
1954,2207
1955,1760
1956,1704
1957,1747
1958,1747
1959,1870
1960,2154
1961,2183
1962,2501
1963,2749
1964,2842
1965,2547
1966,2572
1967,2528
1968,2503
1969,2505
1970,2381
1971,2301
1972,2418
1973,2292
1974,2017
1975,1571
1976,1294
1977,1118
1978,1048
1979,1081
1980,1147
1981,923
1982,859
1983,783
1984,713
1985,579
1986,571
1987,507
1988,432
1989,386
1990,304
1991,262
1992,266
1993,223
1994,162
1995,165
1996,112
1997,105
1998,104
1999,85
2000,69
2001,64
2002,39
2003,42
2004,42
2005,38
2006,40
2007,35
2008,36
2009,30
2010,28
2011,26
2012,17
