year,Sid
1880,7
1881,10
1882,11
1883,10
1884,19
1885,0
1886,14
1887,10
1888,9
1889,8
1890,12
1891,10
1892,13
1893,14
1894,14
1895,8
1896,8
1897,7
1898,12
1899,9
1900,5
1901,7
1902,9
1903,8
1904,9
1905,12
1906,6
1907,7
1908,10
1909,9
1910,15
1911,7
1912,23
1913,25
1914,23
1915,34
1916,26
1917,30
1918,22
1919,26
1920,35
1921,39
1922,36
1923,31
1924,29
1925,31
1926,31
1927,39
1928,30
1929,32
1930,30
1931,30
1932,30
1933,33
1934,31
1935,21
1936,35
1937,41
1938,25
1939,31
1940,26
1941,32
1942,37
1943,29
1944,29
1945,23
1946,41
1947,41
1948,40
1949,37
1950,27
1951,14
1952,23
1953,18
1954,27
1955,20
1956,33
1957,51
1958,48
1959,66
1960,66
1961,64
1962,38
1963,41
1964,42
1965,23
1966,28
1967,23
1968,22
1969,26
1970,21
1971,14
1972,23
1973,16
1974,12
1975,16
1976,14
1977,9
1978,13
1979,9
1980,11
1981,6
1982,12
1983,12
1984,9
1985,6
1986,9
1987,13
1988,9
1989,8
1990,7
1991,0
1992,9
1993,11
1994,7
1995,7
1996,8
1997,10
1998,11
1999,9
2000,14
2001,12
2002,14
2003,19
2004,16
2005,10
2006,27
2007,28
2008,29
2009,28
2010,23
2011,25
2012,19
