year,Stephany
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,8
1912,5
1913,13
1914,12
1915,27
1916,40
1917,22
1918,25
1919,16
1920,15
1921,13
1922,11
1923,8
1924,8
1925,5
1926,8
1927,8
1928,5
1929,0
1930,6
1931,8
1932,14
1933,8
1934,5
1935,13
1936,12
1937,8
1938,19
1939,8
1940,12
1941,14
1942,20
1943,11
1944,29
1945,20
1946,30
1947,43
1948,62
1949,53
1950,49
1951,40
1952,49
1953,34
1954,46
1955,49
1956,45
1957,68
1958,55
1959,42
1960,50
1961,69
1962,38
1963,61
1964,54
1965,62
1966,62
1967,105
1968,88
1969,106
1970,126
1971,103
1972,123
1973,105
1974,97
1975,103
1976,118
1977,116
1978,122
1979,131
1980,125
1981,129
1982,147
1983,109
1984,139
1985,168
1986,258
1987,390
1988,458
1989,503
1990,564
1991,527
1992,549
1993,498
1994,490
1995,409
1996,442
1997,355
1998,339
1999,346
2000,321
2001,382
2002,376
2003,385
2004,350
2005,385
2006,340
2007,360
2008,306
2009,269
2010,258
2011,202
2012,199
