year,Sonnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,5
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,6
1913,6
1914,5
1915,10
1916,10
1917,10
1918,10
1919,11
1920,5
1921,10
1922,12
1923,0
1924,10
1925,5
1926,5
1927,6
1928,6
1929,9
1930,12
1931,12
1932,7
1933,7
1934,10
1935,11
1936,13
1937,9
1938,17
1939,6
1940,7
1941,14
1942,21
1943,17
1944,25
1945,20
1946,22
1947,16
1948,13
1949,8
1950,5
1951,18
1952,5
1953,5
1954,16
1955,16
1956,5
1957,7
1958,5
1959,7
1960,13
1961,15
1962,12
1963,8
1964,11
1965,9
1966,5
1967,15
1968,20
1969,8
1970,14
1971,21
1972,15
1973,0
1974,7
1975,20
1976,0
1977,15
1978,0
1979,13
1980,20
1981,23
1982,12
1983,0
1984,7
1985,13
1986,20
1987,23
1988,20
1989,34
1990,28
1991,12
1992,30
1993,12
1994,21
1995,9
1996,7
1997,19
1998,19
1999,22
2000,5
2001,12
2002,21
2003,17
2004,19
2005,14
2006,19
2007,19
2008,7
2009,18
2010,25
2011,17
2012,20
