year,Solveig
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,6
1912,7
1913,12
1914,11
1915,12
1916,19
1917,13
1918,17
1919,13
1920,12
1921,7
1922,9
1923,9
1924,9
1925,8
1926,16
1927,13
1928,13
1929,13
1930,12
1931,9
1932,17
1933,8
1934,16
1935,12
1936,9
1937,7
1938,14
1939,8
1940,5
1941,12
1942,7
1943,6
1944,7
1945,7
1946,0
1947,11
1948,10
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,5
1958,7
1959,7
1960,0
1961,0
1962,9
1963,8
1964,7
1965,5
1966,7
1967,7
1968,5
1969,0
1970,0
1971,5
1972,8
1973,9
1974,9
1975,0
1976,6
1977,0
1978,5
1979,0
1980,0
1981,5
1982,0
1983,0
1984,8
1985,5
1986,0
1987,0
1988,0
1989,5
1990,8
1991,0
1992,11
1993,0
1994,8
1995,0
1996,8
1997,14
1998,11
1999,5
2000,5
2001,13
2002,14
2003,14
2004,9
2005,14
2006,18
2007,14
2008,8
2009,11
2010,19
2011,11
2012,12
