year,Stefania
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,5
1906,7
1907,0
1908,7
1909,11
1910,13
1911,7
1912,12
1913,20
1914,26
1915,24
1916,37
1917,38
1918,36
1919,39
1920,36
1921,23
1922,17
1923,13
1924,17
1925,9
1926,0
1927,9
1928,6
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,8
1956,0
1957,5
1958,0
1959,0
1960,9
1961,6
1962,0
1963,7
1964,10
1965,6
1966,8
1967,10
1968,11
1969,9
1970,22
1971,11
1972,18
1973,24
1974,13
1975,19
1976,14
1977,24
1978,26
1979,28
1980,28
1981,29
1982,35
1983,32
1984,32
1985,33
1986,32
1987,27
1988,38
1989,42
1990,39
1991,56
1992,59
1993,41
1994,51
1995,33
1996,43
1997,45
1998,34
1999,39
2000,51
2001,58
2002,50
2003,51
2004,60
2005,43
2006,47
2007,41
2008,27
2009,47
2010,46
2011,40
2012,42
