year,Sonja
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,13
1915,11
1916,15
1917,16
1918,17
1919,9
1920,11
1921,23
1922,21
1923,23
1924,20
1925,18
1926,25
1927,25
1928,29
1929,37
1930,71
1931,51
1932,70
1933,54
1934,86
1935,92
1936,180
1937,560
1938,1121
1939,866
1940,713
1941,567
1942,600
1943,530
1944,405
1945,455
1946,484
1947,496
1948,424
1949,412
1950,345
1951,397
1952,389
1953,413
1954,424
1955,444
1956,470
1957,530
1958,523
1959,677
1960,757
1961,868
1962,855
1963,997
1964,1053
1965,1123
1966,1325
1967,1344
1968,1338
1969,1312
1970,1310
1971,1192
1972,1192
1973,893
1974,754
1975,617
1976,583
1977,518
1978,481
1979,438
1980,396
1981,402
1982,372
1983,314
1984,265
1985,303
1986,316
1987,304
1988,294
1989,272
1990,237
1991,205
1992,196
1993,170
1994,169
1995,121
1996,141
1997,151
1998,159
1999,146
2000,123
2001,106
2002,110
2003,114
2004,133
2005,126
2006,128
2007,105
2008,120
2009,120
2010,109
2011,108
2012,114
